"RefDes","Value","Name","Part"
"L4","4.7uH","1255AY-4R7M=P3","https://www.digikey.ca/product-detail/en/murata-electronics-north-america/1255AY-4R7M=P3/490-10812-1-ND/5271554"
"L5","10uH","ASPI-4030S","https://www.digikey.ca/product-detail/en/abracon-llc/ASPI-4030S-100M-T/535-12314-1-ND/4214914"
"L6","22uH","IND_1210","https://www.digikey.ca/product-detail/en/taiyo-yuden/CBC3225T220MR/587-1626-1-ND/1008241"
"Q1","MOFSET-N 2.5A 60V","SOT-23F	","https://www.digikey.ca/products/en?keywords=SSM3K318RLFDKR-ND"
"R1","100k","RES_0805","https://www.digikey.ca/product-detail/en/yageo/RC0805FR-07100KL/311-100KCRCT-ND/730491"
"R2","22k","RES_0805","https://www.digikey.ca/product-detail/en/yageo/RC0805FR-0722KL/311-22.0KCRCT-ND/730683"
"R3","22k","RES_0805","https://www.digikey.ca/product-detail/en/yageo/RC0805FR-0722KL/311-22.0KCRCT-ND/730683"
"R4","150K","RES_0805","https://www.digikey.ca/product-detail/en/yageo/RC0805FR-07150KL/311-150KCRCT-ND/730561"
"R5","270","RES_0805","https://www.digikey.ca/product-detail/en/yageo/RC0805JR-07270RL/311-270ARCT-ND/731238"
"R6","680","RES_0805","https://www.digikey.ca/product-detail/en/yageo/RC0805FR-07680RL/311-680CRCT-ND/731048"
"R7","0.13","RES_0805","https://www.digikey.ca/product-detail/en/yageo/RL0805FR-070R13L/311-.13SCT-ND/1037214"
"R8","634k - 0.1%","RES_0805","https://www.digikey.ca/product-detail/en/ERJ-6ENF6343V/P634KCCT-ND/20073/"
"R9","412k - 0.1%","RES_0805","https://www.digikey.ca/product-detail/en/yageo/RC0805FR-07412KL/311-412KCRCT-ND/730894"
"R10","110k","RES_0805","https://www.digikey.ca/product-detail/en/yageo/RC0805FR-07110KL/311-110KCRCT-ND/730507"
"R11","25.5k","RES_0805","https://www.digikey.ca/product-detail/en/RC0805FR-0725K5L/311-25.5KCRCT-ND/730715"
"R13","750k","RES_0805","https://www.digikey.ca/product-detail/en/yageo/RC0805FR-07750KL/311-750KCRCT-ND/731082"
"R14","10k","RES_0805","https://www.digikey.ca/product-detail/en/yageo/RC0805FR-0710KL/311-10.0KCRTR-ND/727535"
"R15","10k","RES_0805","https://www.digikey.ca/product-detail/en/yageo/RC0805FR-0710KL/311-10.0KCRTR-ND/727535"
"R16","174k","RES_0805","https://www.digikey.ca/product-detail/en/yageo/RC0805FR-07174KL/311-174KCRCT-ND/730587"
"R17","10k","RES_0805","https://www.digikey.ca/product-detail/en/yageo/RC0805FR-0710KL/311-10.0KCRTR-ND/727535"
"S1","Reset SW","EVPBB","https://www.digikey.ca/product-detail/en/panasonic-electronic-components/EVP-BB2A9B000/P19888CT-ND/6212411"
"S2","GPIO select","CJS-1200TA","https://www.digikey.ca/product-detail/en/nidec-copal-electronics/CJS-1200TA/563-1021-1-ND/948401"
"U1","Buck DC/DC","TPS54202","https://www.digikey.ca/product-detail/en/texas-instruments/TPS54202DDCT/296-44151-1-ND/6021980"
"U2","TAS5780","TAS575xM","https://www.digikey.ca/product-detail/en/texas-instruments/TAS5780MDCAR/296-51626-1-ND/9745989"
"U3","Charger","LT3652EMSE","https://www.digikey.ca/product-detail/en/linear-technology-analog-devices/LT3652EMSE-PBF/LT3652EMSE-PBF-ND/2225686"
"U4","Diode Controller","LM74700-Q1","https://www.digikey.ca/product-detail/en/texas-instruments/LM74700QDBVTQ1/296-53420-1-ND/9953065"
"U5","SPDIF plug","PLT133/10W","https://www.digikey.ca/product-detail/en/everlight-electronics-co-ltd/PLT133-T10W/1080-1430-ND/2693977"
"U6","ESP32-WROVER","ESP32-WROVER","https://www.digikey.ca/product-detail/en/espressif-systems/ESP32-WROVER-B-(M213DH6464PC3Q0)/1904-1034-1-ND/9857845"
"U7","Power Switch","TPS22810","https://www.digikey.ca/product-detail/en/texas-instruments/TPS22810DBVR/296-45297-1-ND/6599926"
