RefDes,Name,Pattern,X (mm),Y (mm),Side,Rotate,Value
C1,CAP_0805,CAP_0805,89,1,19,85,Top,270,22uF 35V
C2,CAP_0805,CAP_0805,100,37,65,Bottom,270,1uF 35V
C3,CAP_0805,CAP_0805,96,45,32,8,Bottom,180,100nF 35V
C4,CAP_0805,CAP_0805,94,913,15,248,Bottom,0,100nF 35V
C5,CAP_0805,CAP_0805,96,45,35,5,Bottom,180,22uF 35V
C6,CAP_0805,CAP_0805,96,45,38,3,Bottom,180,22uF 35V
C7,CAP_0805,CAP_0805,94,913,13,207,Bottom,0,22uF 35V
C8,CAP_0805,CAP_0805,94,908,11,167,Bottom,0,22uF 35V
C9,CAP_0805,CAP_0805,105,05,16,5,Bottom,0,1uF 35V
C10,CAP_0805,CAP_0805,80,05,45,7,Top,0,22uF 35V
C11,CAP_0805,CAP_0805,104,2,32,75,Bottom,90,1uF 35V
C12,CAP_0805,CAP_0805,105,063,14,265,Bottom,0,1uF 35V
C13,CAP_0805,CAP_0805,101,45,13,3,Bottom,180,1uF 35V
C14,CAP_0805,CAP_0805,101,761,32,803,Bottom,270,2u2F 35V
C15,CAP_0805,CAP_0805,105,05,36,3,Bottom,0,2u2F 35V
C16,CAP_0805,CAP_0805,105,058,18,606,Bottom,180,1uF 35V
C17,CAP_0805,CAP_0805,91,624,28,581,Bottom,90,220nF 35v
C18,CAP_0805,CAP_0805,98,9,16,25,Bottom,270,2u2F 35V
C19,CAP_0805,CAP_0805,98,12,05,Bottom,270,2u2F 35V
C20,CAP_0805,CAP_0805,82,6,37,45,Top,270,680nF 35V
C21,CAP_0805,CAP_0805,91,55,45,8,Top,0,1uF 35V
C22,CAP_0805,CAP_0805,92,45,32,7,Bottom,180,220nF 35V
C23,CAP_0805,CAP_0805,91,783,20,801,Bottom,270,220nF 35V
C24,CAP_0805,CAP_0805,92,533,17,147,Bottom,180,220nF 35V
C25,CAP_0805,CAP_0805,81,8,21,575,Bottom,270,680nF 35V
C26,CAP_0805,CAP_0805,81,8,14,35,Bottom,270,680nF 35V
C27,CAP_0805,CAP_0805,81,8,35,85,Bottom,90,680nF 35V
C28,CAP_0805,CAP_0805,81,8,28,85,Bottom,90,680nF 35V
C29,CAP_0805,CAP_0805,89,65,35,6,Top,180,22uF 25V
C30,CAP_0805,CAP_0805,113,65,28,9,Top,0,22uF 35V
C31,CAP_0805,CAP_0805,70,75,15,5,Bottom,0,100nF 35V
C32,CAP_0805,CAP_0805,108,3,34,75,Top,90,1uF 35V
C33,CAP_0805,CAP_0805,75,45,21,8,Top,0,22uF 35V
C34,CAP_0805,CAP_0805,79,4,29,25,Top,270,10pF
C36,CAP_0805,CAP_0805,83,8,25,163,Top,270,100nF 35V
C41,CAP_0805,CAP_0805,89,1,12,25,Top,270,22uF 35V
C42,CAP_0805,CAP_0805,86,9,19,85,Top,270,100nF 35V
C43,CAP_0805,CAP_0805,79,771,15,297,Top,0,100nF 35V
C44,CAP_0805,CAP_0805,89,1,16,05,Top,90,22uF 35V
C45,CAP_0805,CAP_0805,86,9,12,25,Top,270,100nF 35V
D1,0805,DIO_0805,79,1,42,45,Top,90,LED
D2,SOD123F,SOD-123F,74,5,33,2,Top,90,Schottky 40V 2A
D3,SOD123F,SOD-123F,87,45,9,Top,180,Schottky 40V 2A
D4,SOD123F,SOD-123F,92,5,42,6,Top,270,Diode 100mA
D5,SOD123F,SOD-123F,92,5,38,1,Top,90,Zener 5.1V
D6,MBRS340,SMA,86,25,43,1,Bottom,0,Schottky 40V 3A
D7,SOD123F,SOD-123F,76,8,33,2,Top,270,Schottky 40V 2A
D8,754-1965-1-ND,APBD3224,96,9,31,Top,90,Dual LED
D9,SOD123F,SOD-123F,77,5,36,45,Top,0,Zener 5.1V
J1,PJ-047B,PJ-047B,72,475,42,1,Top,0,Power Jack 2.1
J2,SJ-43514,SJ-43514,107,15,41,95,Top,270,3.5mm Jack 4 points
J3,CONN,HDR-1x6T/2.54/15x2,114,2,38,45,Top,270,6 pins header 2.54
J4,Header,JST_S2BXHA-1,97,55,41,3,Top,0,Header 2 pin 2.54 mm
J5,WM7860-ND,TB-1x4/3.5/14x7/Sc_H,69,8,29,15,Top,270,Term Header 4 Pos
J6,Molex MicroLockPlus 8,TB-1x8/1.25,102,1,11,4,Bottom,180,Molex ML+ 5 pins
J7,125SH-B-02-TS-SQ,125SH-B-02-TS-SQ,79,6,21,265,Top,0,Header 2 pins 1.27
J8,125SH-B-02-TS,125SH-B-02-TS,109,665,30,1,Top,0,Header 2 pins 1.27
J9,Header,JST_E2BXHA-1,97,55,45,05,Top,0,Header 2 pin 2.54 mm
J10,125SH-B-02-TS-SQ,125SH-B-02-TS-SQ,81,45,11,535,Top,0,Header 2 pins 1.27
L1,1255AY-4R7M=P3,SRN5020,86,25,20,331,Bottom,0,4.7uH
L2,1255AY-4R7M=P3,SRN5020,86,25,12,2,Bottom,0,4.7uH
L3,1255AY-4R7M=P3,SRN5020,86,25,36,593,Bottom,0,4.7uH
L4,1255AY-4R7M=P3,SRN5020,86,25,28,462,Bottom,0,4.7uH
L5,ASPI-4030S,CYNTEC / ASPI-4030S,89,1,42,1,Top,270,10uH
L6,IND_1210,IND_1210,84,17,3,Top,270,22uH
L7,CYNTEC / ASPI-4030S,CYNTEC / ASPI-4030S,76,001,28,6,Top,0,4,7uH
Q1,SOT-23F	,SOT23,88,15,29,35,Top,0,MOFSET-N 2.5A 60V
Q2,SOT323,SOT323,79,4,33,4,Top,270,MOSFET-N
