RefDes,Name,Pattern,X (mm),Y (mm),Side,Rotate,Value
C1,CAP_0805,CAP_0805,23,371,12,35,Top,270,22uF 35V
C2,CAP_0805,CAP_0805,34,271,30,15,Bottom,270,1uF 35V
C3,CAP_0805,CAP_0805,31,413,25,206,Bottom,180,100nF 35V
C4,CAP_0805,CAP_0805,29,184,7,748,Bottom,0,100nF 35V
C5,CAP_0805,CAP_0805,31,408,27,981,Bottom,180,22uF 35V
C6,CAP_0805,CAP_0805,31,408,30,739,Bottom,180,22uF 35V
C7,CAP_0805,CAP_0805,29,184,5,707,Bottom,0,22uF 35V
C8,CAP_0805,CAP_0805,29,179,3,667,Bottom,0,22uF 35V
C9,CAP_0805,CAP_0805,39,321,9,Bottom,0,1uF 35V
C10,CAP_0805,CAP_0805,14,321,38,1,Top,0,22uF 35V
C11,CAP_0805,CAP_0805,38,471,25,25,Bottom,90,1uF 35V
C12,CAP_0805,CAP_0805,39,334,6,765,Bottom,0,1uF 35V
C13,CAP_0805,CAP_0805,35,721,5,8,Bottom,180,1uF 35V
C14,CAP_0805,CAP_0805,36,032,25,303,Bottom,270,2u2F 35V
C15,CAP_0805,CAP_0805,39,321,28,8,Bottom,0,2u2F 35V
C16,CAP_0805,CAP_0805,39,328,11,106,Bottom,180,1uF 35V
C17,CAP_0805,CAP_0805,25,895,21,081,Bottom,90,220nF 35v
C18,CAP_0805,CAP_0805,33,171,8,75,Bottom,270,2u2F 35V
C19,CAP_0805,CAP_0805,32,271,4,55,Bottom,270,2u2F 35V
C20,CAP_0805,CAP_0805,16,071,29,95,Top,270,680nF 35V
C21,CAP_0805,CAP_0805,25,821,38,3,Top,0,1uF 35V
C22,CAP_0805,CAP_0805,27,362,25,206,Bottom,180,220nF 35V
C23,CAP_0805,CAP_0805,26,053,13,301,Bottom,270,220nF 35V
C24,CAP_0805,CAP_0805,26,803,9,647,Bottom,180,220nF 35V
C25,CAP_0805,CAP_0805,16,071,13,95,Bottom,270,680nF 35V
C26,CAP_0805,CAP_0805,16,071,6,85,Bottom,90,680nF 35V
C27,CAP_0805,CAP_0805,16,071,28,35,Bottom,90,680nF 35V
C28,CAP_0805,CAP_0805,16,071,21,35,Bottom,90,680nF 35V
C29,CAP_0805,CAP_0805,23,821,28,1,Top,180,22uF 25V
C30,CAP_0805,CAP_0805,47,921,21,4,Top,0,22uF 35V
C31,CAP_0805,CAP_0805,5,021,8,Bottom,0,100nF 35V
C32,CAP_0805,CAP_0805,42,571,27,25,Top,90,100nF 35V
C36,CAP_0805,CAP_0805,15,671,17,95,Top,270,100nF 35V
C41,CAP_0805,CAP_0805,19,571,4,75,Top,270,22uF 35V
C42,CAP_0805,CAP_0805,21,171,12,35,Top,270,100nF 35V
C43,CAP_0805,CAP_0805,14,042,7,797,Top,0,100nF 35V
C44,CAP_0805,CAP_0805,22,071,4,75,Top,270,22uF 35V
C45,CAP_0805,CAP_0805,17,271,4,75,Top,270,100nF 35V
D1,0805,DIO_0805,10,521,28,9,Top,180,LED
D2,SOD123F,SOD-123F,13,171,34,4,Top,270,Schottky 40V 2A
D3,SOD123F,SOD-123F,20,871,38,4,Top,180,Schottky 40V 2A
D4,SOD123F,SOD-123F,26,771,35,1,Top,270,Diode 100mA
D5,SOD123F,SOD-123F,26,771,30,6,Top,90,Zener 2.4V 100mA
D6,MBRS340,SMA,20,521,35,6,Bottom,0,Schottky 40V 3A
D8,754-1965-1-ND,APBD3224,31,171,23,5,Top,90,Dual LED
J1,PJ-047B,PJ-047B,6,746,34,6,Top,0,Power Jack 2.1
J2,SJ-43514,SJ-43514,41,421,34,45,Top,270,3.5mm Jack 4 points
J3,CONN,HDR-1x6T/2.54/15x2,48,471,30,95,Top,270,6 pins header 2.54
J4,Header,JST_S2BXHA-1,31,821,33,73,Top,0,Header 2 pin 2.54 mm
J5,WM7860-ND,TB-1x4/3.5/14x7/Sc_H,4,071,21,65,Top,270,Term Header 4 Pos
J6,Molex MicroLockPlus 5,TB-1x5/1.25,36,371,3,9,Bottom,180,Molex ML+ 5 pins
J7,Header,HDR-1x2T/1.27/3x2,12,871,13,765,Top,180,Header 2 pins 1.27
J8,952-3598-ND,HDR-1x2T/1.27/3x2,43,936,22,5,Top,0,Header 2 pins 1.27
L1,1255AY-4R7M=P3,SRN5020,20,521,12,831,Bottom,0,4.7uH
L2,1255AY-4R7M=P3,SRN5020,20,521,4,7,Bottom,0,4.7uH
L3,1255AY-4R7M=P3,SRN5020,20,521,29,093,Bottom,0,4.7uH
L4,1255AY-4R7M=P3,SRN5020,20,521,20,962,Bottom,0,4.7uH
L5,ASPI-4030S,CYNTEC / ASPI-4030S,23,271,34,7,Top,270,10uH
L6,IND_1210,IND_1210,18,271,10,2,Top,270,22uH
Q1,SOT-23F	,SOT23,22,421,22,35,Top,0,MOFSET-N 2.5A 60V
R1,RES_0805,RES_0805,14,897,4,75,Top,270,100k
R2,RES_0805,RES_0805,12,733,4,75,Top,90,22k
R3,RES_0805,RES_0805,13,971,29,95,Top,270,22k
R4,RES_0805,RES_0805,36,371,30,15,Bottom,270,150K
R5,RES_0805,RES_0805,28,571,22,95,Top,270,270
R6,RES_0805,RES_0805,33,871,22,95,Top,270,680
R7,RES_0805,RES_0805,23,821,30,3,Top,180,0.13
R8,RES_0805,RES_0805,20,421,29,95,Top,90,634k - 0.1%
R9,RES_0805,RES_0805,18,171,29,95,Top,90,412k - 0.1%
R10,RES_0805,RES_0805,13,921,22,2,Top,0,110k
R11,RES_0805,RES_0805,13,921,25,Top,0,25.5k
